dataset,method,repetition,repetition_name,idx,AP50_class1,mAP_class1,average_AP50,average_mAP,AP50_class2,mAP_class2,AP50_class3,mAP_class3,AP50_class4,mAP_class4,AP50_class5,mAP_class5,AP50_class6,mAP_class6
conic,nnunet,1,1,crag_2,,,0.5172595977783203,0.3569692373275757,0.5110722780227661,0.30759817361831665,0.7040998339653015,0.5192992091178894,0.4553990662097931,0.34779250621795654,0.30000001192092896,0.20651516318321228,0.6157270073890686,0.40364113450050354
conic,nnunet,1,1,crag_19,0.0,0.0,0.4926062524318695,0.32199031114578247,0.39870551228523254,0.21181194484233856,0.6701492667198181,0.49706974625587463,0.6095890402793884,0.4561719298362732,0.6410256624221802,0.33111846446990967,0.6361679434776306,0.43576979637145996
conic,nnunet,1,1,crag_22,0.20000000298023224,0.1162932887673378,0.29097509384155273,0.18799059092998505,0.5023832321166992,0.302243709564209,0.5700934529304504,0.41035524010658264,0.0416666679084301,0.02916666865348816,0.0,0.0,0.43170732259750366,0.2698846459388733
conic,nnunet,1,1,crag_25,,,0.5686550736427307,0.40513020753860474,0.4121813178062439,0.21286888420581818,0.5600000023841858,0.44262319803237915,1.0,0.800000011920929,,,0.30243903398513794,0.16502882540225983
conic,nnunet,1,1,crag_27,0.0,0.0,0.4371814429759979,0.29580745100975037,0.563858687877655,0.3119065463542938,0.4473118185997009,0.3312584161758423,0.5265700221061707,0.3945263624191284,0.4117647111415863,0.28766030073165894,0.6735833883285522,0.44949302077293396
conic,nnunet,1,1,crag_30,0.2142857164144516,0.15625,0.4436885118484497,0.3099828064441681,0.6258277893066406,0.3961714506149292,0.5718270540237427,0.415334552526474,0.5309446454048157,0.399160772562027,0.1428571492433548,0.11428572237491608,0.5763888955116272,0.3786942660808563
conic,nnunet,1,1,crag_33,0.0,0.0,0.23667745292186737,0.15480868518352509,0.23568281531333923,0.12427635490894318,0.565891444683075,0.4012247920036316,0.09090909361839294,0.0727272778749466,0.0,0.0,0.5275813341140747,0.33062365651130676
conic,nnunet,1,1,crag_44,0.14912280440330505,0.07687278836965561,0.32932519912719727,0.21421702206134796,0.4546004831790924,0.2644340991973877,0.4439461827278137,0.3168312907218933,0.4000000059604645,0.2997393310070038,0.0,0.0,0.5282817482948303,0.3274245858192444
conic,nnunet,1,1,crag_48,0.2976190447807312,0.14678962528705597,0.4385225772857666,0.2650945484638214,0.45789971947669983,0.2494572401046753,0.6222826242446899,0.4316478371620178,0.2142857164144516,0.15489652752876282,0.4000000059604645,0.20000000298023224,0.6390483975410461,0.40777602791786194
conic,nnunet,1,1,crag_54,0.0,0.0,0.1482764482498169,0.09674456715583801,0.45629629492759705,0.2792049050331116,0.10169491171836853,0.08947580307722092,0.0,0.0,,,0.1833910048007965,0.11504211276769638
conic,nnunet,1,1,crag_58,0.0,0.0,0.2294192910194397,0.1400049477815628,0.5,0.3022833466529846,0.24137930572032928,0.17274630069732666,0.1538461595773697,0.11199529469013214,0.0,0.0,0.4812903106212616,0.2530047595500946
conic,nnunet,1,1,crag_64,0.08695652335882187,0.04728261008858681,0.3583841025829315,0.23351509869098663,0.3640226721763611,0.19134560227394104,0.6468085050582886,0.4696474075317383,0.28735631704330444,0.21450519561767578,0.20000000298023224,0.12324070930480957,0.5651604533195496,0.3550691306591034
conic,nnunet,2,2,dpath_8,0.20000000298023224,0.12847083806991577,0.43586623668670654,0.2933167517185211,0.5523091554641724,0.3135759234428406,0.6609124541282654,0.5011423230171204,0.5314009785652161,0.39693158864974976,0.12195122241973877,0.04988069459795952,0.5486238598823547,0.36989909410476685
conic,nnunet,2,2,dpath_11,0.0,0.0,0.5308711528778076,0.364157110452652,0.6082949042320251,0.304087370634079,0.74956214427948,0.602565348148346,0.6148409843444824,0.47642582654953003,0.5757575631141663,0.3436463475227356,0.6367713212966919,0.45821794867515564
conic,nnunet,2,2,dpath_12,0.14649681746959686,0.0843416228890419,0.4295012652873993,0.28890499472618103,0.3312128782272339,0.16013512015342712,0.7270477414131165,0.5553926229476929,0.309636652469635,0.2327943742275238,0.41304346919059753,0.25445860624313354,0.6495700478553772,0.4463076591491699
conic,nnunet,2,2,dpath_17,0.0,0.0,0.3994572162628174,0.27416881918907166,0.533823549747467,0.28931713104248047,0.7603092789649963,0.5869084596633911,0.42105263471603394,0.31404250860214233,0.1111111119389534,0.06549707800149918,0.5704467296600342,0.3892478346824646
conic,nnunet,2,2,dpath_21,,,0.44623440504074097,0.2966310381889343,0.6028369069099426,0.31412264704704285,0.7150036096572876,0.5289873480796814,0.27835050225257874,0.22057406604290009,0.0,0.0,0.6349809765815735,0.4194711744785309
conic,nnunet,2,2,dpath_22,0.02777777798473835,0.01292929332703352,0.38013020157814026,0.2527543008327484,0.6854256987571716,0.4083542823791504,0.6261193752288818,0.4651768207550049,0.3234042525291443,0.23215380311012268,0.07692307978868484,0.030769232660531998,0.5411310791969299,0.36714234948158264
conic,nnunet,2,2,dpath_24,,,0.43232494592666626,0.29423290491104126,0.6622390747070312,0.36562493443489075,0.6011834144592285,0.4701480269432068,0.37959182262420654,0.2870233952999115,0.0,0.0,0.518610417842865,0.3483681380748749
conic,nnunet,2,2,dpath_31,0.0,0.0,0.3785201609134674,0.2515419125556946,0.6728395223617554,0.3907018303871155,0.6839762330055237,0.4995794892311096,0.11764705926179886,0.08390839397907257,0.20512820780277252,0.13044473528862,0.5915300250053406,0.4046170711517334
conic,nnunet,2,2,dpath_33,0.1666666716337204,0.08864183723926544,0.451665997505188,0.30712881684303284,0.5310033559799194,0.2900978922843933,0.6831210255622864,0.502028226852417,0.4444444477558136,0.33049511909484863,0.25,0.17499999701976776,0.6347606778144836,0.4565098285675049
conic,nnunet,2,2,dpath_34,,,0.5464912056922913,0.3865865468978882,0.5698275566101074,0.3146260678768158,0.7574626803398132,0.6141091585159302,0.3265306055545807,0.27530819177627563,0.5,0.3199999928474426,0.578635036945343,0.40888938307762146
conic,nnunet,2,2,dpath_40,0.0,0.0,0.37616392970085144,0.24300257861614227,0.5717566013336182,0.2872822880744934,0.7437899112701416,0.5361719727516174,0.3730158805847168,0.26398032903671265,0.0,0.0,0.5684210658073425,0.37058085203170776
conic,nnunet,2,2,dpath_48,0.1111111119389534,0.051077235490083694,0.37992599606513977,0.24239982664585114,0.43919599056243896,0.2374364137649536,0.5948644876480103,0.4595567584037781,0.31924882531166077,0.2360350787639618,0.21739129722118378,0.09186237305402756,0.597744345664978,0.3784312307834625
conic,nnunet,2,2,dpath_52,0.0,0.0,0.28591489791870117,0.18365328013896942,0.5975820422172546,0.3021743893623352,0.35746607184410095,0.2690805494785309,0.39007091522216797,0.2673795521259308,0.0,0.0,0.37037035822868347,0.26328518986701965
conic,nnunet,2,2,dpath_56,0.0,0.0,0.3727331757545471,0.2420145720243454,0.6114285588264465,0.3512694239616394,0.5964912176132202,0.454933226108551,0.3153846263885498,0.2108292579650879,,,0.34036144614219666,0.19304093718528748
conic,nnunet,2,2,dpath_65,0.3650793731212616,0.21949629485607147,0.48277679085731506,0.3303541839122772,0.5348615050315857,0.3028362989425659,0.6284722089767456,0.5145832300186157,0.5112782120704651,0.4109412729740143,0.3333333432674408,0.18566739559173584,0.5236363410949707,0.3486006557941437
conic,nnunet,2,2,glas_11,0.0,0.0,0.4950869083404541,0.3471541106700897,0.5067669153213501,0.3027392029762268,0.6553191542625427,0.5442838668823242,0.5740740895271301,0.4373041093349457,0.6000000238418579,0.3742857575416565,0.634361207485199,0.4243115782737732
conic,nnunet,2,2,glas_12,0.0,0.0,0.330584317445755,0.2030223160982132,0.25314861536026,0.1330890953540802,0.6382978558540344,0.42424970865249634,0.265625,0.19173024594783783,0.4615384638309479,0.2518658936023712,0.3648960590362549,0.2171989232301712
conic,nnunet,2,2,glas_16,,,0.4089319705963135,0.2586001455783844,0.3208431005477905,0.15509869158267975,0.650602400302887,0.4547607898712158,0.3125,0.20416668057441711,0.2857142984867096,0.20000000298023224,0.4749999940395355,0.2789744734764099
