idx,dataset,method,repetition,repetition_name,mean_average_precision,average_precision_at_iou_50,expert_min,expert_mean,expert_max,expert_comparison
1237,PV_in_HC,unet_2019,3,3,0.52738094,0.8333333,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
1283,PV_in_HC,unet_2019,1,1,0.24368592,0.41666666,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,unet_2019,2,2,0.17713371,0.41666666,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,unet_2019,3,3,0.30255747,0.6,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1377,PV_in_HC,unet_2019,1,1,0.48422828,0.7941176,0.5100749731063843,0.6450718998908996,0.7491787075996399,below worst expert
1377,PV_in_HC,unet_2019,2,2,0.4055286,0.7027027,0.5100749731063843,0.6450718998908996,0.7491787075996399,below worst expert
1377,PV_in_HC,unet_2019,3,3,0.48282713,0.8235294,0.5100749731063843,0.6450718998908996,0.7491787075996399,below worst expert
1385,PV_in_HC,unet_2019,1,1,0.8,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,unet_2019,2,2,0.8,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,unet_2019,3,3,0.8,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1418,PV_in_HC,unet_2019,1,1,0.5855709,0.9189189,0.6315997242927551,0.7157982587814331,0.788036048412323,below worst expert
1418,PV_in_HC,unet_2019,2,2,0.5709523,0.9459459,0.6315997242927551,0.7157982587814331,0.788036048412323,below worst expert
1418,PV_in_HC,unet_2019,3,3,0.59605336,0.9189189,0.6315997242927551,0.7157982587814331,0.788036048412323,below worst expert
1444,PV_in_HC,unet_2019,1,1,0.6094084,0.8636364,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,unet_2019,2,2,0.6184619,1.0,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1444,PV_in_HC,unet_2019,3,3,0.6428247,0.8636364,0.5321488976478577,0.7330443859100342,0.8920634388923645,in expert range
1582,PV_in_HC,unet_2019,1,1,0.57720196,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,below worst expert
1582,PV_in_HC,unet_2019,2,2,0.5190837,0.9166667,0.6227884888648987,0.696508276462555,0.7572388052940369,below worst expert
1582,PV_in_HC,unet_2019,3,3,0.5938171,0.9583333,0.6227884888648987,0.696508276462555,0.7572388052940369,below worst expert
1599,PV_in_HC,unet_2019,1,1,0.5733751,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,unet_2019,2,2,0.5515154,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1599,PV_in_HC,unet_2019,3,3,0.6124901,0.9,0.6471375226974487,0.6920498967170715,0.7567505836486816,below worst expert
1237,PV_in_HC,nnunet,1,1,0.54444444,0.625,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
1237,PV_in_HC,nnunet,2,2,0.60476196,0.71428573,0.5625,0.7901984214782715,0.9428571462631226,in expert range
1237,PV_in_HC,nnunet,3,3,0.54444444,0.625,0.5625,0.7901984214782715,0.9428571462631226,below worst expert
1283,PV_in_HC,nnunet,1,1,0.37131494,0.54545456,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,nnunet,2,2,0.38419372,0.54545456,0.3907308280467987,0.5018249750137329,0.6097727417945862,below worst expert
1283,PV_in_HC,nnunet,3,3,0.43493837,0.6,0.3907308280467987,0.5018249750137329,0.6097727417945862,in expert range
1377,PV_in_HC,nnunet,1,1,0.51202786,0.74285716,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,nnunet,2,2,0.52945703,0.7647059,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1377,PV_in_HC,nnunet,3,3,0.5150844,0.71428573,0.5100749731063843,0.6450718998908996,0.7491787075996399,in expert range
1385,PV_in_HC,nnunet,1,1,0.85,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,nnunet,2,2,0.85,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1385,PV_in_HC,nnunet,3,3,0.85,1.0,0.6166666746139526,0.7913333296775817,0.9199999570846558,in expert range
1418,PV_in_HC,nnunet,1,1,0.69869703,0.9722222,0.6315997242927551,0.7157982587814331,0.788036048412323,in expert range
