idx,dataset,method,repetition,repetition_name,dice_score,uncertainty_score,expert_min,expert_mean,expert_max,expert_comparison
1385,PV_in_HC,deepflash2_random,1,1,0.9243441122635754,,0.8136526286815303,0.9190299902764014,0.9642857142857144,in expert range
1385,PV_in_HC,deepflash2_random,2,2,0.9122388059701492,,0.8136526286815303,0.9190299902764014,0.9642857142857144,in expert range
1385,PV_in_HC,deepflash2_random,3,3,0.9113168109883547,,0.8136526286815303,0.9190299902764014,0.9642857142857144,in expert range
1418,PV_in_HC,deepflash2_random,1,1,0.9239374289314362,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1418,PV_in_HC,deepflash2_random,2,2,0.9236538813342278,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1418,PV_in_HC,deepflash2_random,3,3,0.9209206165820437,,0.8936616716398335,0.9215178651885074,0.9431300776716364,in expert range
1444,PV_in_HC,deepflash2_random,1,1,0.9215187008430941,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1444,PV_in_HC,deepflash2_random,2,2,0.9202336816088079,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1444,PV_in_HC,deepflash2_random,3,3,0.922612728390233,,0.8639385912752041,0.9227000818859658,0.961905286950769,in expert range
1582,PV_in_HC,deepflash2_random,1,1,0.9068443367655966,,0.8808637683530326,0.9121408780267384,0.9410504571362992,in expert range
1582,PV_in_HC,deepflash2_random,2,2,0.908499095840868,,0.8808637683530326,0.9121408780267384,0.9410504571362992,in expert range
1582,PV_in_HC,deepflash2_random,3,3,0.9090909090909091,,0.8808637683530326,0.9121408780267384,0.9410504571362992,in expert range
1599,PV_in_HC,deepflash2_random,1,1,0.926448105996263,,0.8918500892325997,0.9218135508319438,0.9348621348621348,in expert range
1599,PV_in_HC,deepflash2_random,2,2,0.9256619144602851,,0.8918500892325997,0.9218135508319438,0.9348621348621348,in expert range
1599,PV_in_HC,deepflash2_random,3,3,0.9252415663671808,,0.8918500892325997,0.9218135508319438,0.9348621348621348,in expert range
1237,PV_in_HC,deepflash2,1,1,0.8591016548463358,0.18191853,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1237,PV_in_HC,deepflash2,2,2,0.9222981523664895,,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1237,PV_in_HC,deepflash2,3,3,0.8658070678127984,,0.7993680884676145,0.9197282261538693,0.9719070772555376,in expert range
1283,PV_in_HC,deepflash2,1,1,0.8165716925920221,0.084515795,0.7786803160120174,0.8259518467884103,0.8909952606635071,in expert range
1283,PV_in_HC,deepflash2,2,2,0.8173565163871365,,0.7786803160120174,0.8259518467884103,0.8909952606635071,in expert range
1283,PV_in_HC,deepflash2,3,3,0.8147117910678412,,0.7786803160120174,0.8259518467884103,0.8909952606635071,in expert range
1377,PV_in_HC,deepflash2,1,1,0.912287229094968,0.110733025,0.7973695315796877,0.8744655406594914,0.9355710678746472,in expert range
