dataset,method,repetition,repetition_name,idx,uncertainty_score,dice_score_class0,dice_score_class1,dice_score_class2,average_dice_score,dice_score_class3
gleason,deepflash2,1,1,slide001_core014,0.31182155,0.9704363344255853,0.7949991646842623,0.12185586909781153,0.6290971227358865,
gleason,deepflash2,1,1,slide006_core110,0.24465697,0.9318549325258767,0.8252707064686826,0.8677611640965474,0.8749622676970356,
gleason,deepflash2,1,1,slide002_core050,0.27434057,0.9887881884444448,,0.9482311865732037,0.9685096875088243,
gleason,deepflash2,1,1,slide002_core074,0.24607618,0.9562296448867268,,0.06734420984396575,0.3411912849102308,0.0
gleason,deepflash2,1,1,slide007_core047,0.42438832,0.9134580930531938,0.2841794863787825,0.37842747062140053,0.5253550166844589,
gleason,deepflash2,1,1,slide005_core147,0.34441373,0.8927625616675853,0.7031948392660756,0.6563997318524819,0.7507857109287143,
gleason,deepflash2,1,1,slide007_core055,0.22097275,0.835438590351895,0.6636164367526983,,0.7495275135522967,
gleason,deepflash2,1,1,slide005_core122,0.2050779,0.8998667637746213,0.9273137501341443,,0.9135902569543828,
gleason,deepflash2,1,1,slide006_core113,0.21984315,0.9084571406945992,0.756001307723872,0.9189489759306942,0.8611358081163885,
gleason,deepflash2,1,1,slide006_core142,0.2330681,0.8641075124202666,0.0,0.7647947978687781,0.542967436763015,
gleason,deepflash2,1,1,slide005_core038,0.25999105,0.8146483128278866,0.8005566080896656,,0.8076024604587762,
gleason,deepflash2,1,1,slide005_core051,0.18904242,0.9460474168153351,0.9645598808059038,,0.9553036488106195,
gleason,deepflash2,1,1,slide005_core064,0.3471008,0.9592422840204956,0.7724411706822416,0.42866148132966886,0.7201149786774687,
gleason,deepflash2,1,1,slide003_core114,0.5080435,0.8253667004337595,0.0,0.0,0.2751222334779198,
gleason,deepflash2,1,1,slide006_core105,0.26208878,0.9323419613010853,0.9461338347375144,,0.9392378980192999,
gleason,deepflash2,1,1,slide005_core018,0.1695757,0.9551168687550836,,0.9526917274274679,0.9539042980912757,
gleason,deepflash2,1,1,slide005_core057,0.20981498,0.9513921348752727,0.542459093747713,0.8721129017882671,0.7886547101370843,
gleason,deepflash2,1,1,slide002_core096,0.10257241,0.9776514969423564,0.9864801779173688,,0.9820658374298625,
gleason,deepflash2,1,1,slide002_core041,0.13690685,0.9618214441107331,,0.9703222882734889,0.966071866192111,
gleason,deepflash2,1,1,slide003_core136,0.441835,0.9652298561526613,0.003251777178575806,0.0,0.3228272111104124,
gleason,deepflash2,1,1,slide001_core030,0.13673003,0.9627787711382774,,0.9755872120825724,0.9691829916104249,
gleason,deepflash2,1,1,slide002_core062,0.3545192,0.9083278407745135,0.8692937033286451,0.0,0.5925405147010528,
gleason,deepflash2,1,1,slide006_core016,0.41691306,0.8639921354113858,0.3989515004915363,0.831354834521589,0.6980994901415037,
gleason,deepflash2,1,1,slide005_core017,0.10344101,0.9785303283331755,,0.9785065542631585,0.978518441298167,
gleason,deepflash2,1,1,slide007_core056,0.16783187,0.9137640308739551,0.9466812589338968,,0.9302226449039259,
