dataset,file,uncertainty_bins,error_rate,expert_agreement
PV_in_HC,1418.tif,0.12,0.26987179487179486,0.3108974358974359
PV_in_HC,1418.tif,0.16,0.30646387832699623,0.3155893536121673
PV_in_HC,1418.tif,0.2,0.31636363636363635,0.32272727272727275
PV_in_HC,1418.tif,0.24,0.37489539748953976,0.34309623430962344
PV_in_HC,1418.tif,0.28,0.41226415094339625,0.41509433962264153
PV_in_HC,1418.tif,0.32,0.3787037037037036,0.2916666666666667
PV_in_HC,1418.tif,0.36,0.40625,0.23214285714285715
PV_in_HC,1418.tif,0.4,0.39999999999999997,0.22388059701492538
PV_in_HC,1418.tif,0.44,0.3695906432748538,0.28654970760233917
PV_in_HC,1418.tif,0.48,0.3763313609467455,0.2485207100591716
PV_in_HC,1418.tif,0.52,0.37160493827160496,0.2222222222222222
PV_in_HC,1418.tif,0.56,0.3942196531791908,0.15028901734104047
PV_in_HC,1418.tif,0.6,0.37751479289940837,0.27218934911242604
PV_in_HC,1418.tif,0.64,0.3547945205479452,0.2465753424657534
PV_in_HC,1418.tif,0.68,0.38136645962732924,0.2484472049689441
PV_in_HC,1418.tif,0.72,0.4038709677419355,0.22580645161290322
PV_in_HC,1418.tif,0.76,0.4230303030303031,0.1696969696969697
PV_in_HC,1418.tif,0.8,0.4240963855421687,0.1746987951807229
PV_in_HC,1418.tif,0.84,0.39378238341968913,0.19689119170984457
PV_in_HC,1418.tif,0.88,0.42377049180327864,0.20901639344262296
PV_in_HC,1418.tif,0.92,0.4381294964028777,0.22302158273381295
PV_in_HC,1418.tif,0.96,0.5142028985507247,0.26666666666666666
PV_in_HC,1283.tif,0.0,0.0005865831056422797,0.997352733247989
PV_in_HC,1283.tif,0.04,0.24228571428571424,0.2857142857142857
PV_in_HC,1283.tif,0.08,0.22752293577981653,0.3944954128440367
PV_in_HC,1283.tif,0.12,0.3094736842105263,0.25263157894736843
PV_in_HC,1283.tif,0.16,0.2745762711864407,0.23728813559322035
PV_in_HC,1283.tif,0.2,0.3436619718309859,0.18309859154929578
PV_in_HC,1283.tif,0.24,0.4384615384615385,0.10256410256410256
PV_in_HC,1283.tif,0.28,0.4025641025641025,0.15384615384615385
PV_in_HC,1283.tif,0.32,0.4666666666666666,0.14583333333333334
PV_in_HC,1283.tif,0.36,0.35862068965517235,0.13793103448275862
