dataset,method,repetition,repetition_name,idx,threshold,average_precision
PV_in_HC,cellpose_single,2,2,1283,0.95,0.0
PV_in_HC,cellpose_single,2,2,1377,0.5,0.7352941
PV_in_HC,cellpose_single,2,2,1377,0.55,0.7352941
PV_in_HC,cellpose_single,2,2,1377,0.6,0.7352941
PV_in_HC,cellpose_single,2,2,1377,0.65,0.7352941
PV_in_HC,cellpose_single,2,2,1377,0.7,0.6857143
PV_in_HC,cellpose_single,2,2,1377,0.75,0.6857143
PV_in_HC,cellpose_single,2,2,1377,0.8,0.51282054
PV_in_HC,cellpose_single,2,2,1377,0.85,0.37209302
PV_in_HC,cellpose_single,2,2,1377,0.8999999999999999,0.07272727
PV_in_HC,cellpose_single,2,2,1377,0.95,0.0
PV_in_HC,cellpose_single,2,2,1385,0.5,1.0
PV_in_HC,cellpose_single,2,2,1385,0.55,1.0
PV_in_HC,cellpose_single,2,2,1385,0.6,1.0
PV_in_HC,cellpose_single,2,2,1385,0.65,1.0
PV_in_HC,cellpose_single,2,2,1385,0.7,1.0
PV_in_HC,cellpose_single,2,2,1385,0.75,1.0
PV_in_HC,cellpose_single,2,2,1385,0.8,1.0
PV_in_HC,cellpose_single,2,2,1385,0.85,0.0
PV_in_HC,cellpose_single,2,2,1385,0.8999999999999999,0.0
PV_in_HC,cellpose_single,2,2,1385,0.95,0.0
PV_in_HC,cellpose_single,2,2,1418,0.5,0.9444444
PV_in_HC,cellpose_single,2,2,1418,0.55,0.8918919
PV_in_HC,cellpose_single,2,2,1418,0.6,0.7948718
PV_in_HC,cellpose_single,2,2,1418,0.65,0.7948718
PV_in_HC,cellpose_single,2,2,1418,0.7,0.75
PV_in_HC,cellpose_single,2,2,1418,0.75,0.70731705
PV_in_HC,cellpose_single,2,2,1418,0.8,0.6666667
PV_in_HC,cellpose_single,2,2,1418,0.85,0.5555556
PV_in_HC,cellpose_single,2,2,1418,0.8999999999999999,0.12903225
PV_in_HC,cellpose_single,2,2,1418,0.95,0.0
PV_in_HC,cellpose_single,2,2,1444,0.5,1.0
PV_in_HC,cellpose_single,2,2,1444,0.55,1.0
PV_in_HC,cellpose_single,2,2,1444,0.6,1.0
PV_in_HC,cellpose_single,2,2,1444,0.65,1.0
PV_in_HC,cellpose_single,2,2,1444,0.7,1.0
PV_in_HC,cellpose_single,2,2,1444,0.75,0.9047619
PV_in_HC,cellpose_single,2,2,1444,0.8,0.8181818
PV_in_HC,cellpose_single,2,2,1444,0.85,0.42857143
PV_in_HC,cellpose_single,2,2,1444,0.8999999999999999,0.1764706
PV_in_HC,cellpose_single,2,2,1444,0.95,0.0
PV_in_HC,cellpose_single,2,2,1582,0.5,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.55,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.6,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.65,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.7,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.75,0.9166667
PV_in_HC,cellpose_single,2,2,1582,0.8,0.7037037
PV_in_HC,cellpose_single,2,2,1582,0.85,0.4375
PV_in_HC,cellpose_single,2,2,1582,0.8999999999999999,0.045454547
PV_in_HC,cellpose_single,2,2,1582,0.95,0.0
PV_in_HC,cellpose_single,2,2,1599,0.5,0.7619048
PV_in_HC,cellpose_single,2,2,1599,0.55,0.7619048
PV_in_HC,cellpose_single,2,2,1599,0.6,0.7619048
PV_in_HC,cellpose_single,2,2,1599,0.65,0.7619048
PV_in_HC,cellpose_single,2,2,1599,0.7,0.7619048
PV_in_HC,cellpose_single,2,2,1599,0.75,0.6818182
PV_in_HC,cellpose_single,2,2,1599,0.8,0.5416667
PV_in_HC,cellpose_single,2,2,1599,0.85,0.48
PV_in_HC,cellpose_single,2,2,1599,0.8999999999999999,0.121212125
PV_in_HC,cellpose_single,2,2,1599,0.95,0.0
PV_in_HC,cellpose_single,3,3,1237,0.5,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.55,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.6,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.65,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.7,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.75,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.8,0.5555556
PV_in_HC,cellpose_single,3,3,1237,0.85,0.27272728
PV_in_HC,cellpose_single,3,3,1237,0.8999999999999999,0.07692308
PV_in_HC,cellpose_single,3,3,1237,0.95,0.0
PV_in_HC,cellpose_single,3,3,1283,0.5,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.55,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.6,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.65,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.7,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.75,0.54545456
PV_in_HC,cellpose_single,3,3,1283,0.8,0.30769232
PV_in_HC,cellpose_single,3,3,1283,0.85,0.21428572
PV_in_HC,cellpose_single,3,3,1283,0.8999999999999999,0.0625
PV_in_HC,cellpose_single,3,3,1283,0.95,0.0
PV_in_HC,cellpose_single,3,3,1377,0.5,0.7647059
PV_in_HC,cellpose_single,3,3,1377,0.55,0.7647059
PV_in_HC,cellpose_single,3,3,1377,0.6,0.7647059
PV_in_HC,cellpose_single,3,3,1377,0.65,0.7647059
PV_in_HC,cellpose_single,3,3,1377,0.7,0.71428573
PV_in_HC,cellpose_single,3,3,1377,0.75,0.6666667
PV_in_HC,cellpose_single,3,3,1377,0.8,0.6666667
PV_in_HC,cellpose_single,3,3,1377,0.85,0.36363637
PV_in_HC,cellpose_single,3,3,1377,0.8999999999999999,0.13207547
PV_in_HC,cellpose_single,3,3,1377,0.95,0.0
PV_in_HC,cellpose_single,3,3,1385,0.5,1.0
PV_in_HC,cellpose_single,3,3,1385,0.55,1.0
PV_in_HC,cellpose_single,3,3,1385,0.6,1.0
PV_in_HC,cellpose_single,3,3,1385,0.65,1.0
