method,file,subset,exp,dice_score,mean_average_precision,average_precision_at_iou_50,dataset
STAPLE,2379-3_mask.png,train,1,0.7287365062571292,0.10244308412075043,0.24390244483947754,GFAP_in_HC
STAPLE,2379-3_mask.png,train,2,0.8345490814898622,0.24582397937774658,0.42553192377090454,GFAP_in_HC
STAPLE,2379-3_mask.png,train,3,0.8455018924077249,0.1873215138912201,0.3529411852359772,GFAP_in_HC
STAPLE_revised,1237_mask.png,test,1,0.9284727975697321,0.7472222447395325,1.0,PV_in_HC
STAPLE_revised,1237_mask.png,test,2,0.9455252918287937,0.8206349611282349,1.0,PV_in_HC
STAPLE_revised,1237_mask.png,test,3,0.7993680884676145,0.5625,0.625,PV_in_HC
STAPLE_revised,1237_mask.png,test,4,0.9719070772555375,0.9428571462631226,1.0,PV_in_HC
STAPLE_revised,1237_mask.png,test,5,0.9533678756476685,0.8777777552604675,1.0,PV_in_HC
STAPLE_revised,1283_mask.png,test,1,0.8066037735849056,0.46186479926109314,0.6000000238418579,PV_in_HC
STAPLE_revised,1283_mask.png,test,2,0.7991638527094388,0.44948381185531616,0.6000000238418579,PV_in_HC
STAPLE_revised,1283_mask.png,test,3,0.7786803160120174,0.3907308280467987,0.529411792755127,PV_in_HC
STAPLE_revised,1283_mask.png,test,4,0.8909952606635071,0.6097727417945862,0.800000011920929,PV_in_HC
STAPLE_revised,1283_mask.png,test,5,0.8543160309721824,0.5972726941108704,0.800000011920929,PV_in_HC
STAPLE_revised,1377_mask.png,test,1,0.827835880933226,0.6193987131118774,0.7272727489471436,PV_in_HC
STAPLE_revised,1377_mask.png,test,2,0.7973695315796877,0.5100749731063843,0.7575757503509521,PV_in_HC
STAPLE_revised,1377_mask.png,test,3,0.9355710678746473,0.7491787075996399,1.0,PV_in_HC
STAPLE_revised,1377_mask.png,test,4,0.8847526772055074,0.6057018041610718,0.8235294222831726,PV_in_HC
STAPLE_revised,1377_mask.png,test,5,0.9267985457043887,0.7410053014755249,0.9696969985961914,PV_in_HC
STAPLE_revised,1385_mask.png,test,1,0.9642857142857143,0.9199999570846558,1.0,PV_in_HC
STAPLE_revised,1385_mask.png,test,2,0.9271955599085864,0.800000011920929,1.0,PV_in_HC
STAPLE_revised,1385_mask.png,test,3,0.8136526286815303,0.6166666746139526,0.75,PV_in_HC
STAPLE_revised,1385_mask.png,test,4,0.9359795134443022,0.7699999809265137,1.0,PV_in_HC
STAPLE_revised,1385_mask.png,test,5,0.9540365350618739,0.8500000238418579,1.0,PV_in_HC
STAPLE_revised,1418_mask.png,test,1,0.9399054692775152,0.788036048412323,0.9444444179534912,PV_in_HC
STAPLE_revised,1418_mask.png,test,2,0.8936616716398335,0.6315997242927551,0.9166666865348816,PV_in_HC
