dataset,method,comparison,repetition_a,repetition_a_name,repetition_b,repetition_b_name,idx,dice_score
cFOS_in_HC,cellpose_single,1,1,1,3,3,1599,0.9061187762447511
cFOS_in_HC,cellpose_single,1,1,1,3,3,1444,0.8992113868051549
cFOS_in_HC,cellpose_single,1,1,1,3,3,1283,0.943174143753015
cFOS_in_HC,cellpose_single,1,1,1,3,3,1385,0.9407965554359526
cFOS_in_HC,cellpose_single,1,1,1,3,3,1582,0.9075780089153047
cFOS_in_HC,cellpose_single,1,1,1,3,3,1237,0.9308936849537961
cFOS_in_HC,cellpose_single,2,2,2,3,3,1377,0.8010085728693899
cFOS_in_HC,cellpose_single,2,2,2,3,3,1608,0.9679361037157078
cFOS_in_HC,cellpose_single,2,2,2,3,3,1418,0.9674407748862177
cFOS_in_HC,cellpose_single,2,2,2,3,3,1599,0.9345255263916931
cFOS_in_HC,cellpose_single,2,2,2,3,3,1444,0.9499905997367926
cFOS_in_HC,cellpose_single,2,2,2,3,3,1283,0.9674675142563336
cFOS_in_HC,cellpose_single,2,2,2,3,3,1385,0.9681316757135353
cFOS_in_HC,cellpose_single,2,2,2,3,3,1582,0.9072562694761834
cFOS_in_HC,cellpose_single,2,2,2,3,3,1237,0.9514742748000476
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1377,0.9521822291775344
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1608,0.96126719852006
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1418,0.9557959087702798
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1599,0.9489203276247208
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1444,0.9514237855946399
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1283,0.9659260642270351
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1385,0.9725770433229121
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1582,0.9599308157970597
cFOS_in_HC,cellpose_ensemble,0,1,1,2,2,1237,0.9395202706785089
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1377,0.9600564324133674
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1608,0.9645406467647314
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1418,0.9501987374327799
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1599,0.9279042615294806
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1444,0.9386779442861083
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1283,0.9676939524938409
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1385,0.9726267766274785
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1582,0.9707246376811595
cFOS_in_HC,cellpose_ensemble,1,1,1,3,3,1237,0.9450268777286092
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1377,0.9720973623950471
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1608,0.9702628526157938
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1418,0.9703284258210646
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1599,0.9280836844399244
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1444,0.9518581841087016
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1283,0.9710522705446564
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1385,0.9657540276432786
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1582,0.9671852899575673
cFOS_in_HC,cellpose_ensemble,2,2,2,3,3,1237,0.9602681538417084
cFOS_in_HC,unet_2019,0,1,1,2,2,1377,0.8960079400088222
cFOS_in_HC,unet_2019,0,1,1,2,2,1608,0.9313992525495661
cFOS_in_HC,unet_2019,0,1,1,2,2,1418,0.8619181505779444
cFOS_in_HC,unet_2019,0,1,1,2,2,1599,0.8680363896555248
cFOS_in_HC,unet_2019,0,1,1,2,2,1444,0.8450361646290725
cFOS_in_HC,unet_2019,0,1,1,2,2,1283,0.9179495714404593
cFOS_in_HC,unet_2019,0,1,1,2,2,1385,0.9201491969247164
cFOS_in_HC,unet_2019,0,1,1,2,2,1582,0.8917434994302289
cFOS_in_HC,unet_2019,0,1,1,2,2,1237,0.9078030601143493
cFOS_in_HC,unet_2019,1,1,1,3,3,1377,0.9169110459433041
cFOS_in_HC,unet_2019,1,1,1,3,3,1608,0.9381524090153914
cFOS_in_HC,unet_2019,1,1,1,3,3,1418,0.869362363919129
cFOS_in_HC,unet_2019,1,1,1,3,3,1599,0.8661884265901483
